iter	Passed	Remaining
1043	34984	30963
1044	35010	30922
1045	35050	30895
1046	35084	30862
1047	35114	30825
1048	35140	30785
1049	35182	30759
1050	35211	30722
1051	35247	30690
1052	35269	30647
1053	35297	30608
1054	35311	30558
1055	35356	30535
1056	35378	30491
1057	35402	30450
1058	35436	30417
1059	35460	30375
1060	35480	30330
1061	35505	30289
1062	35523	30243
1063	35542	30198
1064	35581	30169
1065	35605	30127
1066	35628	30085
1067	35655	30046
1068	35686	30011
1069	35708	29968
1070	35731	29926
1071	35750	29880
1072	35780	29844
1073	35803	29802
1074	35835	29768
1075	35860	29727
1076	35890	29692
1077	35914	29651
1078	35946	29616
1079	35964	29570
1080	35993	29534
1081	36014	29490
1082	36038	29449
1083	36074	29418
1084	36093	29373
1085	36124	29338
1086	36156	29304
1087	36168	29253
1088	36196	29216
1089	36225	29179
1090	36266	29152
1091	36301	29120
1092	36333	29086
1093	36347	29038
1094	36379	29004
1095	36408	28966
1096	36434	28928
1097	36451	28882
1098	36485	28849
1099	36517	28815
1100	36542	28776
1101	36555	28726
1102	36581	28688
1103	36601	28644
1104	36631	28608
1105	36645	28560
1106	36660	28513
1107	36683	28472
1108	36704	28430
1109	36744	28402
1110	36773	28366
1111	36813	28338
1112	36828	28291
1113	36852	28251
1114	36877	28212
1115	36902	28172
1116	36939	28142
1117	36967	28105
1118	36984	28060
1119	37012	28023
1120	37042	27988
1121	37061	27945
1122	37085	27904
1123	37103	27860
1124	37144	27833
1125	37171	27795
1126	37194	27755
1127	37207	27707
1128	37240	27674
1129	37260	27631
1130	37289	27596
1131	37312	27555
1132	37343	27521
1133	37367	27482
1134	37403	27451
1135	37434	27416
1136	37461	27379
1137	37484	27339
1138	37505	27297
1139	37530	27258
1140	37546	27214
1141	37601	27197
1142	37619	27153
1143	37664	27128
1144	37693	27093
1145	37722	27057
1146	37754	27023
1147	37778	26984
1148	37804	26946
1149	37817	26900
1150	37830	26852
1151	37846	26807
1152	37874	26771
1153	37906	26738
1154	37930	26698
1155	37962	26665
1156	37979	26621
1157	38004	26583
1158	38040	26552
1159	38069	26517
1160	38096	26480
1161	38119	26440
1162	38134	26395
1163	38175	26368
1164	38189	26322
1165	38205	26278
1166	38222	26234
1167	38242	26193
1168	38270	26157
1169	38290	26115
1170	38325	26085
1171	38351	26047
1172	38382	26013
1173	38424	25986
1174	38442	25944
1175	38470	25908
1176	38503	25876
1177	38521	25833
1178	38542	25792
1179	38555	25747
1180	38586	25713
1181	38598	25666
1182	38628	25632
1183	38657	25597
1184	38676	25555
1185	38726	25534
1186	38767	25507
1187	38798	25473
1188	38837	25445
1189	38868	25411
1190	38901	25378
1191	38922	25338
1192	38951	25304
1193	38978	25267
1194	39018	25239
1195	39045	25203
1196	39065	25162
1197	39093	25126
1198	39127	25094
1199	39165	25065
1200	39198	25033
1201	39227	24998
1202	39256	24963
1203	39280	24925
1204	39303	24886
1205	39324	24847
1206	39363	24817
1207	39393	24784
1208	39433	24756
1209	39470	24726
1210	39498	24690
1211	39533	24659
1212	39560	24623
1213	39588	24588
1214	39606	24546
1215	39624	24504
1216	39641	24462
1217	39665	24424
1218	39689	24386
1219	39712	24348
1220	39732	24307
1221	39768	24277
1222	39800	24244
1223	39831	24211
1224	39870	24182
1225	39881	24137
1226	39920	24108
1227	39975	24089
1228	39996	24049
1229	40018	24011
1230	40047	23976
1231	40084	23946
1232	40105	23907
1233	40142	23877
1234	40176	23845
1235	40211	23814
1236	40246	23783
1237	40269	23745
1238	40298	23710
1239	40317	23670
1240	40358	23643
1241	40394	23612
1242	40414	23572
1243	40456	23545
1244	40499	23518
1245	40531	23486
1246	40546	23443
1247	40575	23409
1248	40592	23367
1249	40623	23334
1250	40671	23310
1251	40706	23279
1252	40726	23239
1253	40749	23202
1254	40774	23165
1255	40802	23130
1256	40824	23091
1257	40838	23048
1258	40868	23014
1259	40896	22979
1260	40924	22944
1261	40954	22911
1262	40983	22876
1263	41024	22848
1264	41048	22811
1265	41076	22777
1266	41094	22736
1267	41110	22695
1268	41126	22653
1269	41154	22618
1270	41187	22586
1271	41224	22556
1272	41257	22524
1273	41288	22491
1274	41314	22455
1275	41350	22425
1276	41385	22394
1277	41415	22360
1278	41457	22333
1279	41476	22293
1280	41508	22261
1281	41533	22224
1282	41564	22191
1283	41590	22155
1284	41621	22122
1285	41638	22081
1286	41672	22050
1287	41686	22008
1288	41700	21966
1289	41728	21931
1290	41753	21895
1291	41772	21856
1292	41809	21826
1293	41829	21787
1294	41850	21749
1295	41887	21719
1296	41909	21681
1297	41939	21648
1298	41971	21616
1299	42021	21592
1300	42050	21558
1301	42069	21519
1302	42100	21486
1303	42119	21447
1304	42135	21406
1305	42167	21374
1306	42187	21336
1307	42207	21297
1308	42252	21271
1309	42270	21231
1310	42298	21197
1311	42323	21161
1312	42340	21121
1313	42360	21083
1314	42399	21054
1315	42419	21016
1316	42433	20974
1317	42468	20944
1318	42495	20909
1319	42525	20876
1320	42555	20842
1321	42569	20801
1322	42589	20763
1323	42609	20725
1324	42644	20694
1325	42664	20656
1326	42696	20624
1327	42707	20582
1328	42722	20541
1329	42744	20504
1330	42786	20477
1331	42810	20440
1332	42849	20412
1333	42880	20379
1334	42907	20345
1335	42931	20308
1336	42958	20274
1337	42987	20240
1338	42999	20199
1339	43018	20161
1340	43042	20125
1341	43078	20094
1342	43133	20073
1343	43143	20031
1344	43175	19998
1345	43199	19963
1346	43233	19931
1347	43264	19899
1348	43298	19867
1349	43322	19831
1350	43347	19796
1351	43370	19760
1352	43384	19720
1353	43411	19685
1354	43431	19648
1355	43460	19614
1356	43492	19583
1357	43517	19547
1358	43545	19513
1359	43563	19475
1360	43581	19436
1361	43607	19402
1362	43621	19362
1363	43652	19330
1364	43668	19291
1365	43695	19256
1366	43727	19224
1367	43750	19188
1368	43770	19151
1369	43793	19115
1370	43806	19075
1371	43834	19041
1372	43855	19005
1373	43884	18971
1374	43923	18942
1375	43955	18911
1376	43989	18880
1377	44007	18842
1378	44041	18810
1379	44068	18776
1380	44091	18741
1381	44121	18708
1382	44137	18669
1383	44157	18633
1384	44186	18599
1385	44197	18559
1386	44217	18522
1387	44240	18486
1388	44260	18449
1389	44310	18425
1390	44339	18392
1391	44362	18356
1392	44387	18321
1393	44407	18285
1394	44429	18249
1395	44462	18218
1396	44485	18182
1397	44526	18154
1398	44550	18119
1399	44580	18086
1400	44605	18052
1401	44651	18026
